Pääluokan numero;Pääluokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;Määräraha;Aiemmin budjetoitu IX lisätalousarvio 2023;Aiemmin budjetoitu VIII lisätalousarvio 2023;Aiemmin budjetoitu VII lisätalousarvio 2023;Aiemmin budjetoitu VI lisätalousarvio 2023;Aiemmin budjetoitu V lisätalousarvio 2023;Aiemmin budjetoitu IV lisätalousarvio 2023;Aiemmin budjetoitu III lisätalousarvio 2023;Aiemmin budjetoitu II lisätalousarvio 2023;Aiemmin budjetoitu I lisätalousarvio 2023;Aiemmin budjetoitu 2023;Toteutuma 2023;Toteutuma 2022
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";10;"Ympäristön- ja luonnonsuojelu";22;"Eräät ympäristömenot";"";7120000;;;;;;;;;;11615000;;25190000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";10;"Ympäristön- ja luonnonsuojelu";23;"Itämeren ja vesien suojelun edistäminen";"";10735000;;;;;;;;;;12635000;;
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";10;"Ympäristön- ja luonnonsuojelu";31;"Avustukset kuntien ilmastosuunnitelmiin";"";0;;;;;;;;;;2631000;;
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";10;"Ympäristön- ja luonnonsuojelu";52;"Metsähallituksen julkiset hallintotehtävät";"";44100000;;;;;;;;;2200000;50737000;;58068000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";10;"Ympäristön- ja luonnonsuojelu";60;"Siirto Öljysuojarahastoon";"";0;;;;;;;;;;4000000;;4000000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";10;"Ympäristön- ja luonnonsuojelu";61;"Vesien- ja ympäristönhoidon tukeminen";"";7042000;;;;;;;;;;47892000;;39272000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";10;"Ympäristön- ja luonnonsuojelu";63;"Luonnonsuojelualueiden hankinta- ja korvausmenot";"";37630000;;;;;;;;;;46630000;;44130000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";10;"Ympäristön- ja luonnonsuojelu";66;"Kansainvälisen yhteistyön jäsenmaksut ja rahoitusosuudet";"";2162000;;;;;;;;;;2162000;;1882000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";20;"Yhdyskunnat, rakentaminen ja asuminen";01;"Asumisen rahoitus- ja kehittämiskeskuksen toimintamenot";"";6216000;;;;;;;;;1400000;7501000;;6986000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";20;"Yhdyskunnat, rakentaminen ja asuminen";04;"Rakennetun ympäristön digitaalisen rekisterin ja alustan luominen  ";"";0;;;;;;;;;;2300000;;3000000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";20;"Yhdyskunnat, rakentaminen ja asuminen";06;"Vähähiilisen rakennetun ympäristön ohjelma";"";0;;;;;;;;;;2000000;;3000000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";20;"Yhdyskunnat, rakentaminen ja asuminen";31;"Asumisneuvonnan kehittäminen ja laajentaminen";"";2000000;;;;;;;;;;4000000;;3000000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";20;"Yhdyskunnat, rakentaminen ja asuminen";34;"Avustukset kuntien kiinteistöjen öljylämmityksestä luopumiseen ";"";0;;;;;;;;;;10860000;;9860000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";20;"Yhdyskunnat, rakentaminen ja asuminen";35;"Avustukset alueiden käytön ja rakentamisen digitalisaatioon";"";3700000;;;;;;;;;2880000;;;
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";20;"Yhdyskunnat, rakentaminen ja asuminen";37;"Avustukset vihreää siirtymää tukevan rakentamisen toteuttamiseen";"";0;;;;;;;;;0;2500000;;2000000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";20;"Yhdyskunnat, rakentaminen ja asuminen";52;"Avustukset asuinrakennusten sähköisen liikenteen infrastruktuurin edistämiseen";"";0;;;;;;;;;;9000000;;21500000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";20;"Yhdyskunnat, rakentaminen ja asuminen";53;"Avustukset työpaikkakiinteistöjen sähköisen liikenteen infrastruktuurin edistämiseen";"";0;;;;;;;;;;1000000;;1000000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";20;"Yhdyskunnat, rakentaminen ja asuminen";55;"Avustukset korjaustoimintaan";"";9550000;;;;;;;;;;450000;;6250000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";20;"Yhdyskunnat, rakentaminen ja asuminen";56;"Avustukset asuinrakennusten öljy- ja kaasulämmityksestä luopumiseksi";"";0;;;;;;;;;-5000000;45600000;;40000000
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";20;"Yhdyskunnat, rakentaminen ja asuminen";60;"Siirto Valtion asuntorahastoon";"";0;;;;;;;;;;0;;0
35;"YMPÄRISTÖMINISTERIÖN HALLINNONALA";20;"Yhdyskunnat, rakentaminen ja asuminen";64;"Avustukset rakennusperinnön hoitoon";"";1700000;;;;;;;;;;1700000;;1700000
36;"VALTIONVELAN KOROT";01;"Valtionvelan korko";90;"Valtionvelan korko";"";3169000000;;;;;;;;;1073000000;1513000000;;822703968
36;"VALTIONVELAN KOROT";09;"Muut menot valtionvelasta";20;"Palkkiot ja muut menot valtionvelasta";"";21510000;;;;;;;;;;17760000;;17563029
Osaston numero;Osaston nimi;Tuloluvun numero;Tuloluvun nimi;Tulomomentin numero;Tulomomentin nimi;Tulomomentin info-osa;Määräraha;Aiemmin budjetoitu IX lisätalousarvio 2023;Aiemmin budjetoitu VIII lisätalousarvio 2023;Aiemmin budjetoitu VII lisätalousarvio 2023;Aiemmin budjetoitu VI lisätalousarvio 2023;Aiemmin budjetoitu V lisätalousarvio 2023;Aiemmin budjetoitu IV lisätalousarvio 2023;Aiemmin budjetoitu III lisätalousarvio 2023;Aiemmin budjetoitu II lisätalousarvio 2023;Aiemmin budjetoitu I lisätalousarvio 2023;Aiemmin budjetoitu 2023;Toteutuma 2023;Toteutuma 2022
11;"VEROT JA VERONLUONTEISET TULOT";01;"Tulon ja varallisuuden perusteella kannettavat verot";01;"Ansio- ja pääomatuloverot";"";26834000000;;;;;;;;;;23907000000;;12784019782
11;"VEROT JA VERONLUONTEISET TULOT";01;"Tulon ja varallisuuden perusteella kannettavat verot";02;"Yhteisövero";"";6110000000;;;;;;;;;;5998000000;;5538201118
11;"VEROT JA VERONLUONTEISET TULOT";01;"Tulon ja varallisuuden perusteella kannettavat verot";03;"Korkotulojen lähdevero";"";177000000;;;;;;;;;94000000;80000000;;15265100
11;"VEROT JA VERONLUONTEISET TULOT";01;"Tulon ja varallisuuden perusteella kannettavat verot";04;"Perintö- ja lahjavero";"";1160000000;;;;;;;;;;903000000;;901192597
11;"VEROT JA VERONLUONTEISET TULOT";01;"Tulon ja varallisuuden perusteella kannettavat verot";05;"Sähköalan ja fossiilisten polttoaineiden alan väliaikainen voittovero";"";400000000;;;;;;;;;;;;
11;"VEROT JA VERONLUONTEISET TULOT";04;"Liikevaihdon perusteella kannettavat verot ja maksut";01;"Arvonlisävero";"";22930000000;;;;;;;;;;22244000000;;21321760312
11;"VEROT JA VERONLUONTEISET TULOT";04;"Liikevaihdon perusteella kannettavat verot ja maksut";02;"Eräistä vakuutusmaksuista suoritettava vero";"";942000000;;;;;;;;;;921000000;;875365499
11;"VEROT JA VERONLUONTEISET TULOT";04;"Liikevaihdon perusteella kannettavat verot ja maksut";03;"Apteekkivero";"";190000000;;;;;;;;;;186000000;;206510257
11;"VEROT JA VERONLUONTEISET TULOT";08;"Valmisteverot";01;"Tupakkavero";"";1223000000;;;;;;;;;;1215000000;;1115461061
11;"VEROT JA VERONLUONTEISET TULOT";08;"Valmisteverot";04;"Alkoholijuomavero";"";1470000000;;;;;;;;;;1518000000;;1497457849
11;"VEROT JA VERONLUONTEISET TULOT";08;"Valmisteverot";05;"Virvoitusjuomavero";"";215000000;;;;;;;;;;213000000;;220258960
11;"VEROT JA VERONLUONTEISET TULOT";08;"Valmisteverot";07;"Energiaverot";"";4132000000;;;;;;;;;;4455000000;;4488409603
11;"VEROT JA VERONLUONTEISET TULOT";08;"Valmisteverot";08;"Eräiden juomapakkausten valmistevero";"";16000000;;;;;;;;;;16000000;;16485747
11;"VEROT JA VERONLUONTEISET TULOT";10;"Muut verot";03;"Autovero";"";357000000;;;;;;;;;;541000000;;488369661
11;"VEROT JA VERONLUONTEISET TULOT";10;"Muut verot";05;"Varainsiirtovero";"";722000000;;;;;;;;;-139000000;984000000;;936399468
11;"VEROT JA VERONLUONTEISET TULOT";10;"Muut verot";06;"Arpajaisvero";"";137000000;;;;;;;;;;60000000;;46112584
11;"VEROT JA VERONLUONTEISET TULOT";10;"Muut verot";07;"Ajoneuvovero";"";1036000000;;;;;;;;;;1060000000;;1108069625
11;"VEROT JA VERONLUONTEISET TULOT";10;"Muut verot";08;"Jätevero";"";8000000;;;;;;;;;;8000000;;4234284
11;"VEROT JA VERONLUONTEISET TULOT";19;"Muut veronluonteiset tulot";04;"Eräät viestinnän maksut";"";14770000;;;;;;;;;;30312000;;29609169
11;"VEROT JA VERONLUONTEISET TULOT";19;"Muut veronluonteiset tulot";05;"Eräät liikenteen maksut";"";25600000;;;;;;;;;;23438000;;16862837
11;"VEROT JA VERONLUONTEISET TULOT";19;"Muut veronluonteiset tulot";06;"Väylämaksut";"";51000000;;;;;;;;;;45000000;;51736968
11;"VEROT JA VERONLUONTEISET TULOT";19;"Muut veronluonteiset tulot";09;"Muut verotulot";"";7410000;;;;;;;;;;8965000;;12069661
11;"VEROT JA VERONLUONTEISET TULOT";19;"Muut veronluonteiset tulot";10;"Sähkö- ja maakaasuverkkomaksut ja Perämeren tuulivoima-alueella perittävä tuulivoimamaksu     ";"";5860000;;;;;;;;;;5230000;;5402233
11;"VEROT JA VERONLUONTEISET TULOT";19;"Muut veronluonteiset tulot";11;"Rahoitusvakausviraston hallintomaksut";"";8080000;;;;;;;;;38000;6135000;;3373174
11;"VEROT JA VERONLUONTEISET TULOT";19;"Muut veronluonteiset tulot";12;"Säteilytoimintavero";"";2833000;;;;;;;;;;2833000;;2536030
12;"SEKALAISET TULOT";23;"Valtioneuvoston kanslia";99;"Valtioneuvoston kanslian muut tulot";"";50000;;;;;;;;;;50000;;3948
12;"SEKALAISET TULOT";24;"Ulkoministeriön hallinnonala";20;"Tiede- ja kulttuuri-instituuttikiinteistöjen vuokratulot";"";1102000;;;;;;;;;;1005000;;1008400
12;"SEKALAISET TULOT";24;"Ulkoministeriön hallinnonala";99;"Ulkoministeriön hallinnonalan tulot";"";20842000;;;;;;;;;;13479000;;23149100
12;"SEKALAISET TULOT";25;"Oikeusministeriön hallinnonala";10;"Tuomioistuintulot";"";44750000;;;;;;;;;;44860000;;37333278
12;"SEKALAISET TULOT";25;"Oikeusministeriön hallinnonala";14;"Oikeusapumaksutulot";"";3911000;;;;;;;;;;3911000;;
12;"SEKALAISET TULOT";25;"Oikeusministeriön hallinnonala";15;"Yleisen edunvalvonnan tulot";"";32144000;;;;;;;;;;30144000;;28747311
12;"SEKALAISET TULOT";25;"Oikeusministeriön hallinnonala";20;"Ulosottomaksut";"";82000000;;;;;;;;;;82000000;;91444253
12;"SEKALAISET TULOT";25;"Oikeusministeriön hallinnonala";21;"Korot ulosoton säilytettävänä olevista varoista";"";0;;;;;;;;;;1000;;353906
12;"SEKALAISET TULOT";25;"Oikeusministeriön hallinnonala";99;"Oikeusministeriön hallinnonalan muut tulot";"";2750000;;;;;;;;;;2750000;;3167199
12;"SEKALAISET TULOT";26;"Sisäministeriön hallinnonala";98;"EU:lta saatavat tulot ";"";144152000;;;;;;;;;;96611000;;30774636
12;"SEKALAISET TULOT";26;"Sisäministeriön hallinnonala";99;"Sisäministeriön hallinnonalan muut tulot";"";2100000;;;;;;;;;;2100000;;6121202
12;"SEKALAISET TULOT";27;"Puolustusministeriön hallinnonala";20;"Tulot irtaimen omaisuuden myynnistä ja rojaltimaksuista";"";18000;;;;;;;;;;18000;;18000
12;"SEKALAISET TULOT";27;"Puolustusministeriön hallinnonala";99;"Puolustusministeriön hallinnonalan muut tulot";"";31020000;;;;;;;;;;6719000;;5861121
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";11;"Kuntien osuudet verotuskustannuksista";"";63552000;;;;;;;;;;58822000;;124734967
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";12;"Kansaneläkelaitoksen osuus verotuskustannuksista";"";25062000;;;;;;;;;;23197000;;24003980
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";13;"Evankelisluterilaisten seurakuntien osuudet verotuskustannuksista";"";14321000;;;;;;;;;;13255000;;13716560
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";14;"Tulot positiivisen luottotietorekisterin käyttömaksuista";"";5400000;;;;;;;;;;;;
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";20;"Valtion tieto- ja viestintätekniikkakeskuksen eräät tulot";"";10056000;;;;;;;;;;11540000;;13188128
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";50;"Siirto valtion eläkerahastosta";"";2266877000;;;;;;;;;;2125515000;;1981995519
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";51;"Muiden eläkelaitosten puolesta maksettujen eläkemenojen hyvitykset";"";362857000;;;;;;;;;;324471000;;283681961
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";52;"Vakuutusmaksuja vastaavat maksut";"";19420000;;;;;;;;;;19670000;;19282989
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";60;"Työturvallisuusmaksu";"";1010000;;;;;;;;;;980000;;1006174
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";92;"Euroopan unionin perinteisten omien varojen kantopalkkiot";"";55600000;;;;;;;;;;50000000;;74447737
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";93;"Euroopan unionilta saatavat tulot matkamenojen korvaamiseen";"";1400000;;;;;;;;;;1000000;;1975580
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";99;"Valtiovarainministeriön hallinnonalan muut tulot";"";25970000;;;;;;;;;;18500000;;70944332
12;"SEKALAISET TULOT";29;"Opetus- ja kulttuuriministeriön hallinnonala";70;"Opintotukitoiminnan tulot";"";34000000;;;;;;;;;;33300000;;34975786
12;"SEKALAISET TULOT";29;"Opetus- ja kulttuuriministeriön hallinnonala";88;"Opetus- ja kulttuuriministeriön osuus rahapelitoiminnan tuotoista";"";0;;;;;;;;;5000000;386250000;;364240000
12;"SEKALAISET TULOT";29;"Opetus- ja kulttuuriministeriön hallinnonala";99;"Opetus- ja kulttuuriministeriön hallinnonalan muut tulot";"";4000000;;;;;;;;;;4000000;;84213398
12;"SEKALAISET TULOT";30;"Maa- ja metsätalousministeriön hallinnonala";01;"EU:n maataloustukirahastosta saatavat tulot";"";533205000;;;;;;;;;;531430000;;526324486
12;"SEKALAISET TULOT";30;"Maa- ja metsätalousministeriön hallinnonala";02;"Maaseudun kehittämiseen saatavat tulot EU:lta";"";340000000;;;;;;;;;;340000000;;460053411
12;"SEKALAISET TULOT";30;"Maa- ja metsätalousministeriön hallinnonala";03;"Elinkeinokalatalouden kehittämiseen saatavat tulot EU:lta";"";9000000;;;;;;;;;;9000000;;9753317
12;"SEKALAISET TULOT";30;"Maa- ja metsätalousministeriön hallinnonala";04;"EU:lta saatavat muut tulot";"";160000;;;;;;;;;;410000;;332791
12;"SEKALAISET TULOT";30;"Maa- ja metsätalousministeriön hallinnonala";20;"Maa- ja metsätalousministeriön osuus rahapelitoiminnan tuotosta";"";0;;;;;;;;;;29000000;;28074578
12;"SEKALAISET TULOT";30;"Maa- ja metsätalousministeriön hallinnonala";40;"Vesioikeudelliset kalatalousmaksut";"";3000000;;;;;;;;;;2800000;;2965915
12;"SEKALAISET TULOT";30;"Maa- ja metsätalousministeriön hallinnonala";41;"Tenojoen kalastuslupamaksut";"";45000;;;;;;;;;;50000;;30175
12;"SEKALAISET TULOT";30;"Maa- ja metsätalousministeriön hallinnonala";42;"Hirvieläinten metsästysmaksut";"";3590000;;;;;;;;;;4760000;;4610059
12;"SEKALAISET TULOT";30;"Maa- ja metsätalousministeriön hallinnonala";44;"Kalastonhoitomaksut ";"";9739000;;;;;;;;;;10175000;;9327406
12;"SEKALAISET TULOT";30;"Maa- ja metsätalousministeriön hallinnonala";45;"Riistanhoitomaksut";"";12908000;;;;;;;;;;13059000;;11733540
12;"SEKALAISET TULOT";30;"Maa- ja metsätalousministeriön hallinnonala";99;"Maa- ja metsätalousministeriön hallinnonalan muut tulot";"";4400000;;;;;;;;;;4000000;;4468522
12;"SEKALAISET TULOT";31;"Liikenne- ja viestintäministeriön hallinnonala";10;"Hallinnonalan virastojen tulot";"";1500000;;;;;;;;;904000;1500000;;35292954
12;"SEKALAISET TULOT";31;"Liikenne- ja viestintäministeriön hallinnonala";99;"Liikenne- ja viestintäministeriön hallinnonalan muut tulot";"";20050000;;;;;;;;;;850000;;6952087
12;"SEKALAISET TULOT";32;"Työ- ja elinkeinoministeriön hallinnonala";20;"Turvallisuus- ja kemikaaliviraston tulot";"";3650000;;;;;;;;;;3744000;;3501935
12;"SEKALAISET TULOT";32;"Työ- ja elinkeinoministeriön hallinnonala";21;"Päästöoikeuksien huutokauppatulot";"";528000000;;;;;;;;;;;;
12;"SEKALAISET TULOT";32;"Työ- ja elinkeinoministeriön hallinnonala";31;"Palkkaturvamaksujen palautukset";"";33270000;;;;;;;;;;33230000;;20446655
12;"SEKALAISET TULOT";32;"Työ- ja elinkeinoministeriön hallinnonala";50;"EU:n alue- ja rakennepolitiikan ja muista koheesiopolitiikan rahastoista saatavat tulot";"";240000000;;;;;;;;;;257000000;;210203585
12;"SEKALAISET TULOT";32;"Työ- ja elinkeinoministeriön hallinnonala";99;"Työ- ja elinkeinoministeriön hallinnonalan muut tulot";"";147600000;;;;;;;;;33100000;526000000;;635989002
12;"SEKALAISET TULOT";33;"Sosiaali- ja terveysministeriön hallinnonala";02;"Sosiaali- ja terveysalan lupa- ja valvontaviraston tulot";"";2690000;;;;;;;;;;2690000;;3279007
12;"SEKALAISET TULOT";33;"Sosiaali- ja terveysministeriön hallinnonala";03;"Terveyden ja hyvinvoinnin laitoksen tulot";"";100000;;;;;;;;;;100000;;0
12;"SEKALAISET TULOT";33;"Sosiaali- ja terveysministeriön hallinnonala";90;"Sosiaali- ja terveysministeriön osuus rahapelitoiminnan tuotosta";"";0;;;;;;;;;;361750000;;356028000
12;"SEKALAISET TULOT";33;"Sosiaali- ja terveysministeriön hallinnonala";98;"Valtionapujen palautukset";"";93700000;;;;;;;;;;163200000;;101903000
12;"SEKALAISET TULOT";33;"Sosiaali- ja terveysministeriön hallinnonala";99;"Sosiaali- ja terveysministeriön hallinnonalan muut tulot";"";15600000;;;;;;;;;;10100000;;14999727
12;"SEKALAISET TULOT";35;"Ympäristöministeriön hallinnonala";10;"Korvaukset ympäristövahinkojen torjuntatoimista";"";150000;;;;;;;;;;150000;;0
12;"SEKALAISET TULOT";35;"Ympäristöministeriön hallinnonala";20;"Siirto Valtion asuntorahastosta";"";2700000;;;;;;;;;;400000;;1000000
12;"SEKALAISET TULOT";35;"Ympäristöministeriön hallinnonala";99;"Ympäristöministeriön hallinnonalan muut tulot";"";806000;;;;;;;;;;964000;;458837
12;"SEKALAISET TULOT";39;"Muut sekalaiset tulot";01;"Sakkotulot ja tulot hallinnollisista maksuseuraamuksista";"";130000000;;;;;;;;;;130000000;;156111930
12;"SEKALAISET TULOT";39;"Muut sekalaiset tulot";02;"Verotukseen liittyvät korkotulot";"";79000000;;;;;;;;;;79000000;;91729402
12;"SEKALAISET TULOT";39;"Muut sekalaiset tulot";04;"Siirrettyjen määrärahojen peruutukset";"";300000000;;;;;;;;;;300000000;;646860402
12;"SEKALAISET TULOT";39;"Muut sekalaiset tulot";10;"Muut sekalaiset tulot";"";7000000;;;;;;;;;;7000000;;47819821
12;"SEKALAISET TULOT";39;"Muut sekalaiset tulot";20;"Elpymis- ja palautumistukivälineen tulot";"";703000000;;;;;;;;;;391000000;;0
13;"KORKOTULOT, OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET";01;"Korkotulot";04;"Korot valtion lainoista liikelaitoksille";"";1600000;;;;;;;;;;2000000;;2848313
13;"KORKOTULOT, OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET";01;"Korkotulot";05;"Korot muista lainoista";"";44386000;;;;;;;;;;20994000;;23905053
13;"KORKOTULOT, OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET";01;"Korkotulot";07;"Korot talletuksista";"";182500000;;;;;;;;;;7100000;;26971928
13;"KORKOTULOT, OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET";01;"Korkotulot";09;"Muiden eläkelaitosten puolesta maksettujen eläkemenojen ja valtion muille eläkelaitoksille maksamien ennakoiden korkotulot";"";27213000;;;;;;;;;;19194000;;14798917
13;"KORKOTULOT, OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET";03;"Osinkotulot ja osakkeiden myyntitulot";01;"Osinkotulot, pääomanpalautukset ja osakkeiden myyntitulot";"";1150000000;;;;;;;;;;1597000000;;1392818612
13;"KORKOTULOT, OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET";03;"Osinkotulot ja osakkeiden myyntitulot";02;"Rahapelitoiminnan tuotto";"";673000000;;;;;;;;;;;;
13;"KORKOTULOT, OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET";04;"Osuus valtion rahalaitosten voitosta";01;"Osuus Suomen Pankin voitosta";"";10000000;;;;;;;;;;100000000;;26300000
13;"KORKOTULOT, OSAKKEIDEN MYYNTITULOT JA VOITON TULOUTUKSET";05;"Valtion liikelaitosten voiton tuloutukset";01;"Valtion liikelaitosten voiton tuloutukset";"";145000000;;;;;;;;;;154000000;;145000000
15;"LAINAT";01;"Valtiolle takaisin maksettavat lainat";02;"Takaisinmaksut valtion lainoista liikelaitoksille";"";9100000;;;;;;;;;;11500000;;21491199
15;"LAINAT";01;"Valtiolle takaisin maksettavat lainat";04;"Muiden lainojen lyhennykset";"";139323000;;;;;;;;;;138448000;;207307347
15;"LAINAT";03;"Valtion nettolainanotto ja velanhallinta";01;"Nettolainanotto ja velanhallinta";"";10117346000;;;;;;;;;2127305000;8291725000;;11313723566
